Year,Geschlecht,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,famale,65 Jahre und älter,,,,20.7
2019,famale,65 Jahre und älter,,,,20.8
2020,famale,65 Jahre und älter,|,,,22.6
2021,famale,65 Jahre und älter,,,,22.1
2022,famale,65 Jahre und älter,,,,21.8
2023,famale,65 Jahre und älter,,,,22.8
2024,famale,65 Jahre und älter,,,,23.1
2025,famale,65 Jahre und älter,,,,22.8
2015,Männlich,65 Jahre und älter,,,,14.7
2016,Männlich,65 Jahre und älter,,,,15.6
2017,Männlich,65 Jahre und älter,,,,15.2
2018,Männlich,65 Jahre und älter,,,,17.1
2019,Männlich,65 Jahre und älter,,,,16.8
2020,Männlich,65 Jahre und älter,|,,,19.0
2021,Männlich,65 Jahre und älter,,,,18.5
2022,Männlich,65 Jahre und älter,,,,17.4
2023,Männlich,65 Jahre und älter,,,,17.9
2024,Männlich,65 Jahre und älter,,,,18.7
2025,Männlich,65 Jahre und älter,,,,18.7
