Year,Geschlecht,Altersklasse,Grad des Unsicherheitsgefühls,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2017,Weiblich,,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",24.4
2020,Weiblich,,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",15.8
2012,Weiblich,,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",37.3
2017,Weiblich,,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",43.7
2020,Weiblich,,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",45.5
2012,Weiblich,,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",6.1
2017,Weiblich,,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",22.0
2020,Weiblich,,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",30.1
2012,Weiblich,,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",1.9
2017,Weiblich,,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",9.9
2020,Weiblich,,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",8.6
2012,Männlich,,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",29.0
2017,Männlich,,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",49.4
2020,Männlich,,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",36.2
2012,Männlich,,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",45.1
2017,Männlich,,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",40.0
2020,Männlich,,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",47.1
2012,Männlich,,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",18.4
2017,Männlich,,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",8.1
2020,Männlich,,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",14.0
2012,Männlich,,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",7.4
2017,Männlich,,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",2.6
2020,Männlich,,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",2.7
2012,,16 bis unter 25 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",40.3
2017,,16 bis unter 25 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",38.8
2020,,16 bis unter 25 Jahre,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",32.5
2012,,16 bis unter 25 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",39.2
2017,,16 bis unter 25 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",40.7
2020,,16 bis unter 25 Jahre,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",38.2
2012,,16 bis unter 25 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",15.1
2017,,16 bis unter 25 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",15.0
2020,,16 bis unter 25 Jahre,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",20.9
2012,,16 bis unter 25 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.4
2017,,16 bis unter 25 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.5
2020,,16 bis unter 25 Jahre,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",8.3
2012,,25 bis unter 35 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",43.6
2017,,25 bis unter 35 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",39.2
2020,,25 bis unter 35 Jahre,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",32.3
2012,,25 bis unter 35 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",43.2
2017,,25 bis unter 35 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",42.9
2020,,25 bis unter 35 Jahre,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",43.0
2012,,25 bis unter 35 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",9.4
2017,,25 bis unter 35 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",12.9
2020,,25 bis unter 35 Jahre,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",19.2
2012,,25 bis unter 35 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",3.8
2017,,25 bis unter 35 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.0
2020,,25 bis unter 35 Jahre,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.4
2012,,35 bis unter 45 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",46.7
2017,,35 bis unter 45 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",40.1
2020,,35 bis unter 45 Jahre,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",31.3
2012,,35 bis unter 45 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",41.7
2017,,35 bis unter 45 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",41.4
2020,,35 bis unter 45 Jahre,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",45.5
2012,,35 bis unter 45 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",8.6
2017,,35 bis unter 45 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",13.3
2020,,35 bis unter 45 Jahre,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",18.9
2012,,35 bis unter 45 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",3.1
2017,,35 bis unter 45 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.2
2020,,35 bis unter 45 Jahre,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",4.3
2012,,45 bis unter 55 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",45.6
2017,,45 bis unter 55 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",39.9
2020,,45 bis unter 55 Jahre,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",28.3
2012,,45 bis unter 55 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",43.1
2017,,45 bis unter 55 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",42.6
2020,,45 bis unter 55 Jahre,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",46.9
2012,,45 bis unter 55 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",8.4
2017,,45 bis unter 55 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",12.0
2020,,45 bis unter 55 Jahre,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",20.0
2012,,45 bis unter 55 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",2.9
2017,,45 bis unter 55 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.5
2020,,45 bis unter 55 Jahre,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",4.8
2012,,55 bis unter 65 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",41.7
2017,,55 bis unter 65 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",37.6
2020,,55 bis unter 65 Jahre,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",24.1
2012,,55 bis unter 65 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",43.2
2017,,55 bis unter 65 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",42.9
2020,,55 bis unter 65 Jahre,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",50.3
2012,,55 bis unter 65 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",11.1
2017,,55 bis unter 65 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",13.9
2020,,55 bis unter 65 Jahre,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",20.8
2012,,55 bis unter 65 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",4.1
2017,,55 bis unter 65 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.6
2020,,55 bis unter 65 Jahre,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",4.8
2012,,65 bis unter 75 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",35.1
2017,,65 bis unter 75 Jahre,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",32.8
2020,,65 bis unter 75 Jahre,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",18.9
2012,,65 bis unter 75 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",42.3
2017,,65 bis unter 75 Jahre,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",41.4
2020,,65 bis unter 75 Jahre,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",49.4
2012,,65 bis unter 75 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",16.6
2017,,65 bis unter 75 Jahre,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",18.4
2020,,65 bis unter 75 Jahre,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",26.1
2012,,65 bis unter 75 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",6.1
2017,,65 bis unter 75 Jahre,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",7.3
2020,,65 bis unter 75 Jahre,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.7
2012,,75 Jahre und älter,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",26.4
2017,,75 Jahre und älter,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",25.9
2020,,75 Jahre und älter,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",11.6
2012,,75 Jahre und älter,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",38.0
2017,,75 Jahre und älter,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",40.3
2020,,75 Jahre und älter,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",48.4
2012,,75 Jahre und älter,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",24.5
2017,,75 Jahre und älter,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",23.1
2020,,75 Jahre und älter,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",31.8
2012,,75 Jahre und älter,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",11.1
2017,,75 Jahre und älter,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",10.7
2020,,75 Jahre und älter,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",8.2
2019,,,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),63.2
2021,,,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),34.1
2021,,,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.4
2021,,,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.3
2021,,,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),60.9
2021,Weiblich,,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),36.3
2021,Weiblich,,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.6
2021,Weiblich,,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.3
2021,Weiblich,,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Männlich,,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),66.4
2021,Männlich,,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Männlich,,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),31.3
2021,Männlich,,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
